id,no2,no2_adm2
10464,5.048281002651706e-5,5.099702646052713e-5
10465,5.0301543860185455e-5,5.099702646052713e-5
10466,5.035933838578216e-5,5.099702646052713e-5
10467,5.0392883707724715e-5,5.099702646052713e-5
10468,5.029114630632785e-5,5.099702646052713e-5
10469,5.000155703488208e-5,5.099702646052713e-5
10471,5.0056320666405325e-5,5.099702646052713e-5
10710,5.299069478753598e-5,5.099702646052713e-5
10713,5.234213330158045e-5,5.099702646052713e-5
10715,5.209205765016796e-5,5.099702646052713e-5
10717,5.1662636453977744e-5,5.099702646052713e-5
10718,5.158886130387701e-5,5.099702646052713e-5
10719,5.115540392402916e-5,5.099702646052713e-5
10720,5.071936727747792e-5,5.099702646052713e-5
10721,5.062914052475539e-5,5.099702646052713e-5
10722,5.064671633332622e-5,5.099702646052713e-5
10723,5.078076580027138e-5,5.099702646052713e-5
10724,5.071578031556811e-5,5.099702646052713e-5
10726,5.0778285745560684e-5,5.099702646052713e-5
10728,5.0572854056928216e-5,5.099702646052713e-5
10730,5.038992471918495e-5,5.099702646052713e-5
10732,5.042126202652052e-5,5.099702646052713e-5
10973,5.2533218555313285e-5,5.099702646052713e-5
10975,5.2047495748876986e-5,5.099702646052713e-5
10977,5.166296967232886e-5,5.099702646052713e-5
10978,5.118128477657402e-5,5.099702646052713e-5
10979,5.084143705405212e-5,5.099702646052713e-5
10980,5.087312106797929e-5,5.099702646052713e-5
10981,5.067594675600498e-5,5.099702646052713e-5
10982,5.0790339917123156e-5,5.099702646052713e-5
10983,5.077018806255246e-5,5.099702646052713e-5
11223,5.242573281828579e-5,5.099702646052713e-5
11225,5.196330122149921e-5,5.099702646052713e-5
11226,5.142342900604774e-5,5.099702646052713e-5
11227,5.124144734065385e-5,5.099702646052713e-5
11228,5.1067384321045404e-5,5.099702646052713e-5
11229,5.0974049708455976e-5,5.099702646052713e-5
11230,5.0838816733498164e-5,5.099702646052713e-5
11231,5.057843257152224e-5,5.099702646052713e-5
11468,5.228972158514845e-5,5.099702646052713e-5
11470,5.203926716366898e-5,5.099702646052713e-5
11472,5.151922999934894e-5,5.099702646052713e-5
11473,5.1579931206620164e-5,5.099702646052713e-5
11474,5.134056302027252e-5,5.099702646052713e-5
11475,5.1301236514159795e-5,5.099702646052713e-5
11476,5.1040748696506606e-5,5.099702646052713e-5
11477,5.088497149584335e-5,5.099702646052713e-5
11689,5.24723361252252e-5,5.099702646052713e-5
11691,5.2155859992887556e-5,5.099702646052713e-5
11693,5.1725412764862685e-5,5.099702646052713e-5
11694,5.139088377715445e-5,5.099702646052713e-5
11695,5.131193751712654e-5,5.099702646052713e-5
11696,5.1248339156418134e-5,5.099702646052713e-5
11697,5.1191661757097245e-5,5.099702646052713e-5
11885,5.2655050488846587e-5,5.099702646052713e-5
11887,5.220149793584741e-5,5.099702646052713e-5
11888,5.19213959909098e-5,5.099702646052713e-5
11889,5.150277616489307e-5,5.099702646052713e-5
11890,5.1270710888810846e-5,5.099702646052713e-5
11891,5.1252972412717795e-5,5.099702646052713e-5
11893,5.1069474373506644e-5,5.099702646052713e-5
12049,5.2469887448086285e-5,5.099702646052713e-5
12051,5.2401952591050517e-5,5.099702646052713e-5
12052,5.208605720101561e-5,5.099702646052713e-5
12053,5.1690350029847055e-5,5.099702646052713e-5
12054,5.142747097246529e-5,5.099702646052713e-5
12056,5.164834233437112e-5,5.099702646052713e-5
12058,5.128869284040327e-5,5.099702646052713e-5
12197,5.256081506061392e-5,5.099702646052713e-5
12200,5.2661649826419985e-5,5.099702646052713e-5
12202,5.240466145676553e-5,5.099702646052713e-5
12203,5.2049744825961855e-5,5.099702646052713e-5
12204,5.160325923220425e-5,5.099702646052713e-5
12351,5.298783271506513e-5,5.099702646052713e-5
12353,5.2969768447144175e-5,5.099702646052713e-5
12354,5.2453058069666284e-5,5.099702646052713e-5
12355,5.205861599386899e-5,5.099702646052713e-5
12483,5.262674557136293e-5,5.099702646052713e-5
12485,5.261325704313652e-5,5.099702646052713e-5
12487,5.2526307985729556e-5,5.099702646052713e-5
12489,5.224558159107242e-5,5.099702646052713e-5
5001,5.391543227299221e-5,5.099702646052713e-5
5002,5.391260899035427e-5,5.099702646052713e-5
5004,5.343664753221628e-5,5.099702646052713e-5
5226,5.392583997451708e-5,5.099702646052713e-5
5227,5.399923772298874e-5,5.099702646052713e-5
5228,5.368969445733955e-5,5.099702646052713e-5
5229,5.323586807424922e-5,5.099702646052713e-5
5231,5.276798891972512e-5,5.099702646052713e-5
5233,5.2931998429926435e-5,5.099702646052713e-5
5458,5.335496447758348e-5,5.099702646052713e-5
5459,5.374055362618895e-5,5.099702646052713e-5
5460,5.4209604228241736e-5,5.099702646052713e-5
5461,5.3828918370335386e-5,5.099702646052713e-5
5462,5.3020138024504705e-5,5.099702646052713e-5
5463,5.251679073321572e-5,5.099702646052713e-5
5464,5.251596472023804e-5,5.099702646052713e-5
5466,5.1815187770805955e-5,5.099702646052713e-5
5468,5.158892745726065e-5,5.099702646052713e-5
5706,5.2810933240263934e-5,5.099702646052713e-5
5707,5.280695183686958e-5,5.099702646052713e-5
5708,5.2964991243717583e-05,5.099702646052713e-5
5709,5.30844518953597e-5,5.099702646052713e-5
5710,5.325063053675318e-5,5.099702646052713e-5
5711,5.273200112808122e-5,5.099702646052713e-5
5712,5.227457472135224e-5,5.099702646052713e-5
5713,5.168008094540835e-5,5.099702646052713e-5
5714,5.112809264679749e-5,5.099702646052713e-5
5715,5.097584011901822e-5,5.099702646052713e-5
5717,5.086980758134677e-5,5.099702646052713e-5
5719,5.0616082308398315e-5,5.099702646052713e-5
5721,5.053253933782387e-5,5.099702646052713e-5
5956,5.315120481125691e-5,5.099702646052713e-5
5957,5.248683494937124e-5,5.099702646052713e-5
5958,5.214015470863619e-5,5.099702646052713e-5
5959,5.2463572513791016e-5,5.099702646052713e-5
5960,5.2805361347411106e-5,5.099702646052713e-5
5961,5.3079479814349003e-5,5.099702646052713e-5
5962,5.26595421183013e-5,5.099702646052713e-5
5963,5.216349428023429e-5,5.099702646052713e-5
5964,5.1402305194702023e-5,5.099702646052713e-5
5965,5.083379708753243e-5,5.099702646052713e-5
5966,5.079115224052626e-5,5.099702646052713e-5
5967,5.0679630649099525e-5,5.099702646052713e-5
5968,5.044930911463945e-5,5.099702646052713e-5
5969,5.043836904882289e-5,5.099702646052713e-5
5971,5.022936761231024e-5,5.099702646052713e-5
5973,5.0250898082764516e-5,5.099702646052713e-5
6188,5.239241315868116e-5,5.099702646052713e-5
6189,5.261460683716951e-5,5.099702646052713e-5
6190,5.215987423021623e-5,5.099702646052713e-5
6191,5.162630518217102e-5,5.099702646052713e-5
6192,5.186068664033171e-5,5.099702646052713e-5
6193,5.2309049054222554e-5,5.099702646052713e-5
6194,5.249650181231207e-5,5.099702646052713e-5
6195,5.227974653793221e-5,5.099702646052713e-5
6196,5.169111497430134e-5,5.099702646052713e-5
6197,5.1231788591250024e-5,5.099702646052713e-5
6198,5.0711338357325125e-5,5.099702646052713e-5
6199,5.0564430732449395e-5,5.099702646052713e-5
6200,5.045283187724937e-5,5.099702646052713e-5
6201,5.0159662835223935e-5,5.099702646052713e-5
6202,5.009960201416618e-5,5.099702646052713e-5
6203,5.008741656012673e-5,5.099702646052713e-5
6204,5.014281717916812e-5,5.099702646052713e-5
6206,5.0137496312707835e-5,5.099702646052713e-5
6208,4.97332139946208e-5,5.099702646052713e-5
6422,5.3130690752853145e-5,5.099702646052713e-5
6423,5.244466629405711e-5,5.099702646052713e-5
6424,5.236056014595673e-5,5.099702646052713e-5
6425,5.182623285333804e-5,5.099702646052713e-5
6426,5.119990358203015e-5,5.099702646052713e-5
6427,5.1641778917915616e-5,5.099702646052713e-5
6428,5.19719280320117e-5,5.099702646052713e-5
6429,5.1988921502380076e-5,5.099702646052713e-5
6430,5.194048458475302e-5,5.099702646052713e-5
6431,5.1316193787951616e-5,5.099702646052713e-5
6432,5.085954283072884e-5,5.099702646052713e-5
6433,5.0640920495406416e-5,5.099702646052713e-5
6434,5.0353815119146426e-5,5.099702646052713e-5
6435,5.009411347534572e-5,5.099702646052713e-5
6436,4.989275318670719e-5,5.099702646052713e-5
6437,5.003712717195222e-5,5.099702646052713e-5
6438,5.018344708129369e-5,5.099702646052713e-5
6439,5.028269105608615e-5,5.099702646052713e-5
6440,5.011697268208426e-5,5.099702646052713e-5
6441,4.988337579692765e-5,5.099702646052713e-5
6443,4.9576935515247396e-5,5.099702646052713e-5
6445,4.953314772609181e-5,5.099702646052713e-5
6447,4.962645994074083e-5,5.099702646052713e-5
6665,5.3761999062472836e-5,5.099702646052713e-5
6666,5.312391402438238e-5,5.099702646052713e-5
6667,5.261602999565891e-5,5.099702646052713e-5
6668,5.1741876761898656e-5,5.099702646052713e-5
6669,5.0933822869920974e-5,5.099702646052713e-5
6670,5.1153240907840114e-5,5.099702646052713e-5
6671,5.155679334962743e-5,5.099702646052713e-5
6672,5.199260404222939e-5,5.099702646052713e-5
6673,5.185073310577864e-5,5.099702646052713e-5
6674,5.113276973613474e-5,5.099702646052713e-5
6675,5.043038475613472e-5,5.099702646052713e-5
6676,5.032477530233812e-5,5.099702646052713e-5
6677,5.041688949750251e-5,5.099702646052713e-5
6678,5.029415096479846e-5,5.099702646052713e-5
6679,5.0165868065469134e-5,5.099702646052713e-5
6680,5.045700112114422e-5,5.099702646052713e-5
6681,5.0477898648361845e-5,5.099702646052713e-5
6682,5.0291432148523194e-5,5.099702646052713e-5
6683,5.018581865286193e-5,5.099702646052713e-5
6684,4.996823177116219e-5,5.099702646052713e-5
6685,4.964130183217398e-5,5.099702646052713e-5
6686,4.9663671101590324e-5,5.099702646052713e-5
6687,4.957104285700093e-5,5.099702646052713e-5
6918,5.368013202687694e-5,5.099702646052713e-5
6919,5.3604433607534864e-5,5.099702646052713e-5
6920,5.286828467316016e-5,5.099702646052713e-5
6921,5.221066298510743e-5,5.099702646052713e-5
6922,5.170864462028513e-5,5.099702646052713e-5
6923,5.116950927074769e-5,5.099702646052713e-5
6924,5.123406849783356e-5,5.099702646052713e-5
6925,5.148965198589308e-5,5.099702646052713e-5
6926,5.181136637950247e-5,5.099702646052713e-5
6927,5.166957759251706e-5,5.099702646052713e-5
6928,5.0924179728183246e-5,5.099702646052713e-5
6929,5.0429019092231744e-5,5.099702646052713e-5
6930,5.010341117432655e-5,5.099702646052713e-5
6931,5.0025225928161985e-5,5.099702646052713e-5
6932,5.0186327603813404e-5,5.099702646052713e-5
6933,5.009103956624256e-5,5.099702646052713e-5
6934,5.0276517266464475e-5,5.099702646052713e-5
6935,5.047270040402657e-5,5.099702646052713e-5
6936,5.0211516320420715e-5,5.099702646052713e-5
6937,5.008776302750973e-5,5.099702646052713e-5
6938,4.984877580990186e-5,5.099702646052713e-5
6939,4.960478414733911e-5,5.099702646052713e-5
6940,4.9487313439800416e-5,5.099702646052713e-5
6941,4.951982385278964e-5,5.099702646052713e-5
6943,4.9674871665449414e-5,5.099702646052713e-5
7170,5.381926501615158e-5,5.099702646052713e-5
7171,5.332532925043945e-5,5.099702646052713e-5
7172,5.335931013559245e-5,5.099702646052713e-5
7173,5.2573070312998126e-5,5.099702646052713e-5
7174,5.1981682388226115e-5,5.099702646052713e-5
7175,5.151183927347499e-5,5.099702646052713e-5
7176,5.123890407239417e-5,5.099702646052713e-5
7177,5.1217915688754843e-5,5.099702646052713e-5
7178,5.1420298704911526e-5,5.099702646052713e-5
7179,5.1268474770746654e-5,5.099702646052713e-5
7180,5.102087531958089e-5,5.099702646052713e-5
7181,5.0688756529816325e-5,5.099702646052713e-5
7182,5.042812188560563e-5,5.099702646052713e-5
7183,4.988325104158719e-5,5.099702646052713e-5
7184,4.9967967308063745e-5,5.099702646052713e-5
7185,5.03276018772745e-5,5.099702646052713e-5
7186,5.015181655547154e-5,5.099702646052713e-5
7187,5.002855153840435e-5,5.099702646052713e-5
7188,5.012399282255491e-5,5.099702646052713e-5
7189,4.982817494098173e-5,5.099702646052713e-5
7190,4.965252808934706e-5,5.099702646052713e-5
7191,4.9715255400821634e-5,5.099702646052713e-5
7192,4.962656868522377e-5,5.099702646052713e-5
7193,4.948334431583204e-5,5.099702646052713e-5
7194,4.966117488287792e-5,5.099702646052713e-5
7195,4.997317249719738e-5,5.099702646052713e-5
7399,5.362145422422773e-5,5.099702646052713e-5
7400,5.2935050216405884e-5,5.099702646052713e-5
7401,5.25952391858095e-5,5.099702646052713e-5
7402,5.1723133556302464e-5,5.099702646052713e-5
7403,5.1139287017327344e-5,5.099702646052713e-5
7404,5.115183018136437e-5,5.099702646052713e-5
7405,5.1142247706676296e-5,5.099702646052713e-5
7406,5.104303300644928e-5,5.099702646052713e-5
7407,5.111067591771519e-5,5.099702646052713e-5
7408,5.0821322052265105e-5,5.099702646052713e-5
7409,5.0392096042147964e-5,5.099702646052713e-5
7410,5.043979468730614e-5,5.099702646052713e-5
7411,5.036430560576003e-5,5.099702646052713e-5
7412,4.999827062693779e-5,5.099702646052713e-5
7413,5.008937677240646e-5,5.099702646052713e-5
7414,5.036325753357759e-5,5.099702646052713e-5
7415,5.008427414525391e-5,5.099702646052713e-5
7416,4.9834283196637776e-5,5.099702646052713e-5
7417,4.9818727880661726e-5,5.099702646052713e-5
7418,4.981554363809499e-5,5.099702646052713e-5
7419,4.967964669087201e-5,5.099702646052713e-5
7420,4.978619206399866e-5,5.099702646052713e-5
7421,4.9895432027122216e-5,5.099702646052713e-5
7422,4.9839011836019146e-5,5.099702646052713e-5
7423,4.981708868912225e-5,5.099702646052713e-5
7424,4.984947890190657e-5,5.099702646052713e-5
7426,5.0080158104124595e-5,5.099702646052713e-5
7630,5.4105536269887246e-5,5.099702646052713e-5
7632,5.37794174927814e-5,5.099702646052713e-5
7634,5.27279280945932e-5,5.099702646052713e-5
7635,5.224286148656804e-5,5.099702646052713e-5
7636,5.1583686712584506e-5,5.099702646052713e-5
7637,5.099579817090526e-5,5.099702646052713e-5
7638,5.099761891384485e-5,5.099702646052713e-5
7639,5.074157485892734e-5,5.099702646052713e-5
7640,5.0546518359408735e-5,5.099702646052713e-5
7641,5.063285797262798e-5,5.099702646052713e-5
7642,5.0601171730532103e-5,5.099702646052713e-5
7643,5.0330062491464864e-5,5.099702646052713e-5
7644,5.041911588160763e-5,5.099702646052713e-5
7645,5.030519386467281e-5,5.099702646052713e-5
7646,4.9985334676050216e-5,5.099702646052713e-5
7647,4.997861358627933e-5,5.099702646052713e-5
7648,5.0197346659488964e-5,5.099702646052713e-5
7649,5.005318508946492e-5,5.099702646052713e-5
7650,4.991203977646851e-5,5.099702646052713e-5
7651,4.9877659053034664e-5,5.099702646052713e-5
7652,4.979713615134797e-5,5.099702646052713e-5
7653,4.9621163580841396e-5,5.099702646052713e-5
7654,4.988995306976366e-5,5.099702646052713e-5
7655,5.0156057233954276e-5,5.099702646052713e-5
7656,5.019269300829512e-5,5.099702646052713e-5
7657,4.9964770513701235e-5,5.099702646052713e-5
7658,4.963591353333767e-5,5.099702646052713e-5
7659,4.9840662369296466e-5,5.099702646052713e-5
7877,5.3591738231654086e-5,5.099702646052713e-5
7879,5.266727742163542e-5,5.099702646052713e-5
7880,5.1805865609598976e-5,5.099702646052713e-5
7881,5.113467925532553e-5,5.099702646052713e-5
7882,5.0926242651271695e-5,5.099702646052713e-5
7883,5.098393899022072e-5,5.099702646052713e-5
7884,5.051706541271058e-5,5.099702646052713e-5
7885,5.041099722915655e-5,5.099702646052713e-5
7886,5.050009648428688e-5,5.099702646052713e-5
7887,5.0711731605184694e-5,5.099702646052713e-5
7888,5.06323011392857e-5,5.099702646052713e-5
7889,5.050530995484743e-5,5.099702646052713e-5
7890,5.037423150306493e-5,5.099702646052713e-5
7891,5.0038958267526396e-5,5.099702646052713e-5
7892,5.0080995076815084e-5,5.099702646052713e-5
7893,5.013810750803416e-5,5.099702646052713e-5
7894,4.9839003494097896e-5,5.099702646052713e-5
7895,4.958686975856584e-5,5.099702646052713e-5
7896,4.953682528047648e-5,5.099702646052713e-5
7897,4.966942600293875e-5,5.099702646052713e-5
7898,4.96655028254916e-5,5.099702646052713e-5
7899,4.998680336125921e-5,5.099702646052713e-5
7900,5.0277387321034146e-5,5.099702646052713e-5
7901,5.017906946349313e-5,5.099702646052713e-5
7902,4.9904844733017173e-5,5.099702646052713e-5
7903,4.959793889931867e-5,5.099702646052713e-5
7905,4.975780214960153e-5,5.099702646052713e-5
8123,5.374773024956767e-5,5.099702646052713e-5
8125,5.290293173804798e-5,5.099702646052713e-5
8127,5.232724031557838e-5,5.099702646052713e-5
8128,5.15003472117279e-5,5.099702646052713e-5
8129,5.091191096573895e-5,5.099702646052713e-5
8130,5.069981314136466e-5,5.099702646052713e-5
8131,5.059715272926671e-5,5.099702646052713e-5
8132,5.025020398332978e-5,5.099702646052713e-5
8133,5.032877141274164e-5,5.099702646052713e-5
8134,5.064275010658294e-5,5.099702646052713e-5
8135,5.071530680503572e-5,5.099702646052713e-5
8136,5.084626468220296e-5,5.099702646052713e-5
8137,5.072159340463724e-5,5.099702646052713e-5
8138,5.040255884928535e-5,5.099702646052713e-5
8139,5.021981821216097e-5,5.099702646052713e-5
8140,4.999623958064353e-5,5.099702646052713e-5
8141,4.9909924115762645e-5,5.099702646052713e-5
8142,4.985555932464378e-5,5.099702646052713e-5
8143,4.975305000466666e-5,5.099702646052713e-5
8144,4.9628146231980816e-5,5.099702646052713e-5
8145,4.9739460585071634e-5,5.099702646052713e-5
8146,4.981224001792521e-5,5.099702646052713e-5
8147,4.997228105041028e-5,5.099702646052713e-5
8148,5.032505300901736e-5,5.099702646052713e-5
8149,5.031564282051338e-5,5.099702646052713e-5
8150,5.006949592547831e-5,5.099702646052713e-5
8152,5.002962436177114e-5,5.099702646052713e-5
8375,5.33507111643463e-5,5.099702646052713e-5
8377,5.2656332418547175e-5,5.099702646052713e-5
8379,5.2184488113419116e-5,5.099702646052713e-5
8380,5.13122645410051e-5,5.099702646052713e-5
8381,5.080789259985298e-5,5.099702646052713e-5
8382,5.059561534228287e-5,5.099702646052713e-5
8383,5.04361236270833e-5,5.099702646052713e-5
8384,5.009778019864342e-5,5.099702646052713e-5
8385,5.015395125735024e-5,5.099702646052713e-5
8386,5.0562043837570856e-5,5.099702646052713e-5
8387,5.073048964915005e-5,5.099702646052713e-5
8388,5.079415907511822e-5,5.099702646052713e-5
8389,5.098262493270771e-5,5.099702646052713e-5
8390,5.061554771787575e-5,5.099702646052713e-5
8391,5.021405151850329e-5,5.099702646052713e-5
8392,5.002392042575965e-5,5.099702646052713e-5
8393,4.98505103829369e-5,5.099702646052713e-5
8394,4.979820749171223e-5,5.099702646052713e-5
8395,4.969568374082183e-5,5.099702646052713e-5
8396,4.979951970170103e-5,5.099702646052713e-5
8397,4.983951965188196e-5,5.099702646052713e-5
8398,4.9854771991487894e-5,5.099702646052713e-5
8399,4.995621614805103e-5,5.099702646052713e-5
8400,5.038791128230245e-5,5.099702646052713e-5
8401,5.0433343446513724e-5,5.099702646052713e-5
8402,5.0212095907587834e-5,5.099702646052713e-5
8648,5.2616759347292204e-5,5.099702646052713e-5
8650,5.2174110995779874e-5,5.099702646052713e-5
8651,5.1376867268324495e-5,5.099702646052713e-5
8652,5.101866840411615e-5,5.099702646052713e-5
8653,5.0892799531672924e-5,5.099702646052713e-5
8654,5.0781357707953265e-5,5.099702646052713e-5
8655,5.0591216133643776e-5,5.099702646052713e-5
8656,5.0525826709707556e-5,5.099702646052713e-5
8657,5.0689549804022136e-5,5.099702646052713e-5
8658,5.0735902094242175e-5,5.099702646052713e-5
8659,5.0788727010082204e-5,5.099702646052713e-5
8660,5.109479686234356e-5,5.099702646052713e-5
8661,5.07570398425104e-5,5.099702646052713e-5
8662,5.016558390329959e-5,5.099702646052713e-5
8663,5.00010859164119e-5,5.099702646052713e-5
8664,4.9815285797425944e-5,5.099702646052713e-5
8665,4.995350015783159e-5,5.099702646052713e-5
8666,4.991737821138259e-5,5.099702646052713e-5
8667,4.9949098647655324e-5,5.099702646052713e-5
8668,5.006623588050449e-5,5.099702646052713e-5
8669,4.988170610517212e-5,5.099702646052713e-5
8670,4.968858079516932e-5,5.099702646052713e-5
8671,5.00924674751042e-5,5.099702646052713e-5
8672,5.034902771855571e-5,5.099702646052713e-5
8673,5.061375904184157e-5,5.099702646052713e-5
8903,5.226975400870773e-5,5.099702646052713e-5
8905,5.199024458783261e-5,5.099702646052713e-5
8906,5.120815748633581e-5,5.099702646052713e-5
8907,5.117876299488189e-5,5.099702646052713e-5
8908,5.132730673991554e-5,5.099702646052713e-5
8909,5.095040368655404e-5,5.099702646052713e-5
8910,5.0584986431329146e-5,5.099702646052713e-5
8911,5.0379530436334355e-5,5.099702646052713e-5
8912,5.05466007555827e-5,5.099702646052713e-5
8913,5.0795906535314105e-5,5.099702646052713e-5
8914,5.097895240579623e-5,5.099702646052713e-5
8915,5.117984232744928e-5,5.099702646052713e-5
8916,5.066124773747684e-5,5.099702646052713e-5
8917,5.007310595405813e-5,5.099702646052713e-5
8918,4.9906769063155817e-5,5.099702646052713e-5
8919,4.978197180059738e-5,5.099702646052713e-5
8920,4.9781653971060895e-5,5.099702646052713e-5
8921,4.97928259822414e-5,5.099702646052713e-5
8922,4.976784447761824e-5,5.099702646052713e-5
8923,4.993782219139976e-5,5.099702646052713e-5
8924,4.98244771702034e-5,5.099702646052713e-5
8925,4.9677775608545046e-5,5.099702646052713e-5
8926,4.98498606590235e-5,5.099702646052713e-5
8927,5.001681070135927e-5,5.099702646052713e-5
8929,5.0526012405548414e-5,5.099702646052713e-5
9154,5.246642571499014e-5,5.099702646052713e-5
9156,5.2343247511184654e-5,5.099702646052713e-5
9158,5.211489461379987e-5,5.099702646052713e-5
9159,5.131452151522008e-5,5.099702646052713e-5
9160,5.12746733101251e-5,5.099702646052713e-5
9161,5.142278319812455e-5,5.099702646052713e-5
9162,5.117986701246882e-5,5.099702646052713e-5
9163,5.0848450155915356e-5,5.099702646052713e-5
9164,5.0548833401052e-5,5.099702646052713e-5
9165,5.0523166246710595e-5,5.099702646052713e-5
9166,5.0884034665646624e-5,5.099702646052713e-5
9167,5.09183528759678e-5,5.099702646052713e-5
9168,5.110937753230407e-5,5.099702646052713e-5
9169,5.065840093189229e-5,5.099702646052713e-5
9170,5.009303488597786e-5,5.099702646052713e-5
9171,4.998107631525542e-5,5.099702646052713e-5
9172,4.9945077603870606e-5,5.099702646052713e-5
9173,4.97943005314199e-5,5.099702646052713e-5
9174,4.979466574457518e-5,5.099702646052713e-5
