event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BEN795,05 December 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),5,Civilians (Benin),NA,7,57,Civilian targeting,204,Western Africa,Benin,Atlantique,Abomey-Calavi,NA,Abomey-Calavi,6.45,2.35,1,24h au Benin; Acotonou; Benin Web TV; Daabaaru; La Nouvelle (Benin),National,"On 5 December 2022, a group lynched and killed an alleged thief in Godomey neighborhood of Abomet-Calavi (Abomey-Calavi, Atlantique). He had with another thief stolen a motorcycle from a woman by cutting off her finger. The police arrived on the scene after the death of one of the two robbers.",1,crowd size=no report,1670870898
BEN801,03 December 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Police Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Oueme,Seme-Podji,NA,Seme-Krake,6.3794,2.7018,1,24h au Benin; Benin Web TV,National,"On 3 December 2022, 2 armed people shot at the policemen who were trying to arrest them in Krake-Plage near Krake-Daho neighborhood of Seme-Krake (Seme-Podji, Oueme). They were killed when the police returned fire.",2,NA,1670870898
BEN815,03 December 2022,2022,1,Political violence,Violence against civilians,Attack,Military Forces of Benin (2016-),NA,1,Civilians (Benin),NA,7,17,Civilian targeting,204,Western Africa,Benin,Alibori,Karimama,NA,Kangara Peulh,11.9456,3.1549,1,Undisclosed Source,Local partner-Other,"On 3 December 2022, Beninese soldiers killed a man because he refused to leave his village as imposed by local authorities in Kangara Peulh (Karimama, Alibori).",1,NA,1673307073
BEN775,30 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Kangara Peulh,11.9456,3.1549,1,24h au Benin; Banouto; Benin Web TV; Daabaaru; L'investigateur; Undisclosed Source,Local partner-Other,"On 30 November 2022, an unidentified armed group attacked the Beninese army in Kangara Peulh (Karimama, Alibori). One soldier was killed. Several dead and wounded on the side of the attackers were transported by vehicle but the exact number was not specified by the source.",4,NA,1673307073
BEN814,30 November 2022,2022,1,Political violence,Violence against civilians,Attack,Military Forces of Benin (2016-),NA,1,Civilians (Benin),NA,7,17,Civilian targeting,204,Western Africa,Benin,Atacora,Materi,NA,Koualou,11.0251,0.9479,1,Undisclosed Source,Local partner-Other,"On 30 November 2022, Beninese soldiers killed two civilians suspected of complicity with militants or of being militants during an military operation in Koualou (Materi, Atacora).",2,NA,1673307073
BEN858,30 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Government of Benin (2016-),NA,1,NA,NA,0,10,NA,204,Western Africa,Benin,Atacora,Kerou,NA,Koabagou,11.0758,1.9199,1,Undisclosed Source,Local partner-Other,"Security measures: On 30 November 2022, the primary school of Koabagou (Kerou, Atacora) was closed because of security threats.",0,NA,1673311012
BEN813,29 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Park W,11.8706,2.5781,2,Undisclosed Source,Local partner-Other,"On 29 November 2022, overnight, an unidentified armed group exchanged fire with Beninese soldiers into Park W (Karimama, Alibori). Several soldiers were injured. The attack was repelled by the Beninese army.",0,NA,1673307073
BEN812,28 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,1,Undisclosed Source,Local partner-Other,"On 28 November 2022, an unidentified armed group exchanged fire with Beninese soldiers around the residence of a civilian family in Kalale (Kalale, Kalale, Borgou), one of whose members was murdered on October 30.",0,NA,1673307073
BEN783,27 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),NA,5,Civilians (Benin),Police Forces of Benin (2016-),7,57,Civilian targeting,204,Western Africa,Benin,Atlantique,Abomey-Calavi,NA,Abomey-Calavi,6.45,2.35,1,24h au Benin; Benin Web TV,National,"On 27 November 2022, a group blocked the road to catch a man suspected of kidnapping two children in Abomey-Calavi (Abomey-Cavali, Atlantique). The police intervened and arrested the man.",0,crowd size=no report,1670257263
BEN772,25 November 2022,2022,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,NA,2,Military Forces of Benin (2016-),NA,1,12,NA,204,Western Africa,Benin,Atacora,Kerou,NA,Koabagou,11.0758,1.9199,1,24h au Benin; AFP; Banouto; Benin Web TV; Daabaaru; L'investigateur; Undisclosed Source,Local partner-Other,"On 25 November 2022, suspected JNIM attacked a Beninese military base between 4 and 5 am in Koabagou (Kerou, Atacora). 4 attackers were killed and a Beninese soldier was wounded.",4,NA,1670257263
BEN773,25 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,1,Banouto; Benin Web TV; Undisclosed Source,Local partner-Other,"On 25 November 2022, overnight, an unidentified armed group attacked a Fulani household in Kalale village (Kalale, Borgou). The Beninese army intervened and exchanged fire with the armed group. One soldier was injured.",0,NA,1673307073
BEN780,23 November 2022,2022,2,Political violence,Riots,Mob violence,Rioters (Benin),Farmers (Benin),5,Rioters (Benin),Pastoralists (Benin); Fulani Ethnic Group (Benin),5,55,NA,204,Western Africa,Benin,Plateau,Ketou,NA,Ossokodjo,7.3189,2.6641,2,24h au Benin; Banouto; Benin Web TV,National,"Around 23 November 2022 (week of), a farmer killed a Fulani pastoralist because he had killed his ox during a dispute in Assia near Ossokodjo (Ketou, Plateau).",1,crowd size=no report,1670257263
BEN811,23 November 2022,2022,1,Strategic developments,Strategic developments,Other,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Undisclosed Source,Local partner-Other,"Non-violent activity: On 23 November 2022, an unidentified armed group patrolled and threatened some residents for 2 days before leaving in Karimama (Karimama, Alibori).",0,NA,1673307073
BEN857,21 November 2022,2022,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),NA,7,37,Civilian targeting,204,Western Africa,Benin,Alibori,Segbana,NA,Segbana,10.9282,3.6943,1,Undisclosed Source,Local partner-Other,"On 21 November 2022, overnight, an unidentified armed individuals killed a man in Segbana (Segbana, Alibori). Police forces are conducting an investigation.",1,NA,1673311012
BEN794,19 November 2022,2022,1,Strategic developments,Strategic developments,Non-violent transfer of territory,Military Forces of Benin (2016-),NA,1,Unidentified Armed Group (Benin),NA,3,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,2,Undisclosed Source,Local partner-Other,"On 19 November 2022, a group of Beninese commandos came across a militant camp of an unidentified armed group in Kofounou near Karimama (Karimama, Alibori). They fled without fighting. An identity card of a Fulani man was found and he was arrested.",0,NA,1670870898
BEN770,17 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin); Farmers (Benin),5,NA,NA,0,50,NA,204,Western Africa,Benin,Atlantique,Ouidah,NA,Savi,6.4274,2.1023,1,L'investigateur; Benin Web TV,National,"On 17 November 2022, a group of farmers burned down houses belonging to pastoralists after the murder of a farmer by a suspected pastoralist in Savi (Ouidah, Atlantique). The police intervened, no interaction reported.",1,crowd size=no report,1669053773
BEN771,17 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),5,Civilians (Benin),NA,7,57,Civilian targeting,204,Western Africa,Benin,Borgou,N-Dali,NA,Sirarou,9.5891,2.6489,1,24h au Benin; Banouto; L'investigateur; La Nouvelle (Benin); Undisclosed Source,Local partner-Other,"On 17 November 2022, residents lynched and killed an alleged murderer accused of having decapitated a man in Sirarou (N-Dali, Borgou).",1,crowd size=no report,1670257263
BEN779,17 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Kangara Peulh,11.9456,3.1549,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 17 November 2022, a dozen members of an armed group on motorcycles went through the village of Kangara Peulh (Karimama, Alibori). They reassured that they would not attack them, specifying that they would only attack the army and those who collaborate with them.",0,NA,1670257263
BEN810,17 November 2022,2022,1,Political violence,Violence against civilians,Attack,Police Forces of Benin (2016-),NA,1,Civilians (Benin),Prisoners (Benin),7,17,Civilian targeting,204,Western Africa,Benin,Oueme,Porto-Novo,NA,Porto-Novo,6.4833,2.6167,1,24h au Benin,National,"On 17 November 2022, police executed several suspected prisoners in a school in Dowa Centre neighborhood of Porto-Novo (Oueme) according witnesses. The reasons for the event are not known.",3,NA,1673307073
BEN789,16 November 2022,2022,1,Political violence,Violence against civilians,Attack,Military Forces of Benin (2016-),NA,1,Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),7,17,Civilian targeting,204,Western Africa,Benin,Alibori,Karimama,NA,Bogo-bogo,12.1035,3.1059,1,Undisclosed Source,Local partner-Other,"On 16 November 2022, two Fulani men went missing during and air-supported military operation in Bogo-Bogo (Karimama, Alibori). Oxen were also killed during the operation.",0,NA,1670870898
BEN796,16 November 2022,2022,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Civilians (Burkina Faso); Mossi Ethnic Group (Burkina Faso); Labor Group (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Atacora,Materi,NA,Koualou,11.0251,0.9479,1,Undisclosed Source,Local partner-Other,"On 16 November 2022, an unidentified group kidnapped a Beninese seed seller and a Mossi man from Burkina Faso in Koualou (Materi, Atacora).",0,NA,1670870898
BEN807,16 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Ilakara,12.2234,2.9616,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 16 November 2022, an armed group of eight on 5 motorcycles passed through the village of Ilakara (Karimama, Alibori) at the time of prayer and joined the local residents at the mosque.",0,NA,1670870898
BEN808,14 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Park W,11.8706,2.5781,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 14 November 2022, an unidentified armed group of 6 fighters were observed by aerial reconnaissance in Park W (Karimama, Alibori). They were leaving the Konkombri hunting area in Benin for the Kourtiagou hunting area in Burkina.",0,NA,1670870898
BEN856,12 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Government of Benin (2016-),NA,1,NA,NA,0,10,NA,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,1,Undisclosed Source,Local partner-Other,"Security measures: On 12 November 2022, a curfew has been put in place in Kalale (Kalale, Borgou). Travel is now restricted from 10 pm and rides of more than one person on a motorcycle are prohibited.",0,NA,1673311012
BEN774,11 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Banouto; Undisclosed Source,Local partner-Other,"On 11 November 2022, overnight, an unidentified armed group exchanged fire with Beninese soldiers in Karimama (Karimama, Alibori) according to inhabitants. But army assures that it was a warning shot to keep away the alleged attackers.",0,NA,1670257263
BEN769,10 November 2022,2022,2,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Banouto; Benin Web TV,National,"Around 10 November 2022, (as reported), overnight, an unidentified armed group attacked and exchanged fire with Beninese soldiers of the Republican Guard in Karimama (Karimama, Alibori). The army repelled the attack.",0,NA,1676916121
BEN776,09 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Banikoara,NA,Deroubannou,11.3375,2.3579,1,Undisclosed Source,Local partner-Other,"On 9 November 2022, overnight, a suspected unidentified armed group exchanged fire with Beninese soldiers in Deroubannou (Banikoara, Alibori). These shots were perhaps also warning shots from the army.",0,NA,1670257263
BEN782,09 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Pastoralists (Benin); Fulani Ethnic Group (Benin),5,Civilians (Benin),Pastoralists (Benin); Fulani Ethnic Group (Benin),7,57,Civilian targeting,204,Western Africa,Benin,Alibori,Gogounou,NA,Sori,10.7168,2.7847,1,Undisclosed Source,Local partner-Other,"On 9 November 2022, a Fulani pastoralist killed his brother with a machete in the Fulani village of Sori (Gogounou, Alibori). The reasons for the dispute are not known. The murderer was arrested by the police.",1,crowd size=2,1670257263
BEN800,09 November 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Undisclosed Source,Local partner-Other,"On 9 November 2022, overnight, an unidentified armed group exchanged fire with Beninese soldiers in Karimama (Karimama, Alibori) according to local residents. But army assures that it was a warning shot to keep away the alleged attackers.",0,NA,1670870898
BEN805,09 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Kompa,12.2059,3.0347,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 9 November 2022, an armed group of 8 people with AKM rifles on 4 motorcycles went back and forth between the villages of Tchatchatounga and Gorou near Kompa (Karimama, Alibori).",0,NA,1670870898
BEN806,09 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Atacora,Materi,NA,Koualou,11.0251,0.9479,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 9 November 2022, 6 members of an armed group on 4 motorcycles went to Koualou (Materi, Atacora). They asked why Beninese soldiers had come to the village on November 3.",0,NA,1670870898
BEN778,08 November 2022,2022,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Pastoralists (Benin); Fulani Ethnic Group (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Donga,Djougou,NA,Djougou,9.7107,1.6652,2,Undisclosed Source,Local partner-Other,"On 8 November 2022, an unidentified armed group killed a pastoralist and his animals in a Fulani village near Djougou (Djougou, Donga). The reason for the killing is not known.",1,NA,1670257263
BEN777,07 November 2022,2022,1,Strategic developments,Strategic developments,Arrests,Military Forces of Benin (2016-),NA,1,Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),7,17,NA,204,Western Africa,Benin,Atacora,Materi,NA,Dassari,10.8114,1.1439,1,Undisclosed Source,Local partner-Other,"On 7 November 2022, Beninese military arrested about 20 Fulani men for verification in Dassari (Materi, Atacora). Several were later released but the community protested against these described as 'arbitrary arrests' on the basis of race.",0,NA,1670257263
BEN781,07 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Pastoralists (Benin),5,Civilians (Benin),NA,7,57,Civilian targeting,204,Western Africa,Benin,Alibori,Karimama,NA,Birni Lafia,11.9775,3.2222,1,Undisclosed Source,Local partner-Other,"On 7 November 2022, a pastoralist attacked two people with his machete before being arrested by the police in Birni Lafia (Karimama, Alibori). The reason of the attack is unspecified.",0,crowd size=no report,1670257263
BEN784,07 November 2022,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),6,NA,NA,0,60,NA,204,Western Africa,Benin,Atacora,Materi,NA,Dassari,10.8114,1.1439,1,Undisclosed Source,Local partner-Other,"On 7 November 2022, fulani people protested in Dassari (Materi, Atacora) against what they described as 'arbitrary arrests' on the basis of race after 20 Fulani were shortly arrested.",0,crowd size=no report,1670257263
BEN768,04 November 2022,2022,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),3,Civilians (Benin),Labor Group (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Collines,Save,NA,Kaboua,8.2446,2.6884,1,24h au Benin; Benin Web TV; Daabaaru,National,"On 4 November 2022, an unidentified armed group of Fulani men kidnapped two butchers in Kaboua (Save, Collines). They demanded a ransom of 10 million CFA francs before releasing them on November 8.",0,NA,1668457335
BEN788,04 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,JNIM: Group for Support of Islam and Muslims,NA,2,NA,NA,0,20,NA,204,Western Africa,Benin,Atacora,Toucountouna,NA,Tampatou,10.4961,1.3914,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 4 November 2022, ten presumed JNIM individuals were spotted in the village of Tampatou (Toucountouna, Atacora) on motorcycles carrying parcels and heading towards the village of Tanhorta.",0,NA,1670870898
BEN793,04 November 2022,2022,1,Strategic developments,Strategic developments,Arrests,Military Forces of Benin (2016-),NA,1,JNIM: Group for Support of Islam and Muslims,Pastoralists (Burkina Faso); Fulani Ethnic Group (Burkina Faso),2,12,NA,204,Western Africa,Benin,Alibori,Banikoara,NA,Keremou,11.3491,2.3243,1,Undisclosed Source,Local partner-Other,"On 4 November 2022, Beninese soldiers arrested a group of 4 men on two motorcycles, presumably Fulani JNIM from Burkina Faso, at the exit of Keremou (Banikoara, Alibori). They tried to bypass security forces' checkpoints but were denounced by local populations.",0,NA,1670870898
BEN762,02 November 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),5,Civilians (Benin),NA,7,57,Civilian targeting,204,Western Africa,Benin,Borgou,Parakou,NA,Parakou,9.35,2.6167,1,L'investigateur,National,"On 2 November 2022, a group beat a suspected robber before handing him over to the police in Kpebie neighborhood in Parakou (Parakou, Borgou).",0,crowd size=no report,1667851741
BEN803,02 November 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Atacora,Toucountouna,NA,Tchanhorta,10.5679,1.4922,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 2 November 2022, unidentified armed groups were spotted in Tchanhorta, a village in the borough of Tampegre (Toucountouna, Atacora) with shooting rifles. The village school was subsequently closed and farmers stopped going to the field.",0,NA,1670870898
BEN787,31 October 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Government of Benin (2016-),NA,1,NA,NA,0,10,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Undisclosed Source,Local partner-Other,"Security measures: On 31 October 2022, the Mayor of Karimama established a curfew from 8 pm to 6 am in Karimama (Karimama, Alibori).",0,NA,1670870898
BEN767,30 October 2022,2022,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Kalale Communal Group (Benin); Dambanga Communal Militia (Benin); Fulani Ethnic Group (Benin); Pastoralists (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,1,24h au Benin; Benin Web TV; L'investigateur; Undisclosed Source,Local partner-Other,"On 30 October 2022, an unidentified armed group shot and killed the Fulani chief hunter (Dambanga), a customary authority, in Kalale (Kalale, Borgou).",1,NA,1670870898
BEN766,29 October 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Banikoara,NA,Goumori,11.1795,2.2989,1,Undisclosed Source,Local partner-Other,"On 29 October 2022, an unidentified armed group exchanged fire with the Beninese army in Goumori (Banikoara, Alibori). No casualties reported.",0,NA,1667851742
BEN765,28 October 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Military Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Kompa,12.2059,3.0347,1,Undisclosed Source,Local partner-Other,"On 28 October 2022, an unidentified armed group exchanged fire with the Beninese army in Kompa (Karimama, Alibori). The assailants retreated.",0,NA,1667851742
